Date,Observer,Location,Point,StandardizedLocationName,newspotnames,index,cmc_comments,answers,Start.Time..24h.,Latitude,Longitude,Cloud,Wind,Notes,Species.before,Species.After
4/17/2014,JDR,Grady Co WMA,2,GRCO,GRCO-PC2,80,,,10:39,34.79771,-97.83633,100,0 to 5,,,
4/17/2014,JDR,Grady Co WMA,3,GRCO,GRCO-PC3,81,,,10:54,34.79776,-97.8252,100,0 to 5,,,
4/17/2014,JDR,Grady Co WMA,4,GRCO,GRCO-PC4,82,,,11:18,34.80295,-97.84902,90,5 to 10,,CCSP,
5/27/2014,Randy,Grady Co WMA,5,GRCO,GRCO-PC5,288,,,15:36,34.80908,-97.84669,90,5 to 10,Thunderstorm in vicinity,"COHA,EAME,DICK,GRSP,EAPH",GRSP (CF)
5/27/2014,Randy,Grady Co WMA,6,GRCO,GRCO-PC6,289,,,16:25,34.7978,-97.8569,100,10 to 15,sprinkling,"FISP,DICK",
5/27/2014,Randy,Grady Co WMA,7,GRCO,GRCO-PC7,291,,,17:33,34.77943,-97.86161,90,0 to 5,wind starting to become calm,,
5/27/2014,Randy,Grady Co WMA,8,GRCO,GRCO-PC8,292,,,17:47,34.77414,-97.85495,100,0 to 5,,"EAKI,DICK","PABU, LASP, DICK(female CF)"
5/27/2014,Randy,Grady Co WMA,9,GRCO,GRCO-PC9,290,,,17:14,34.7793,-97.87031,100,5 to 10,burned area to east of point count,"FISP,NOMO","KILL,RSHA (carrying food in talons), EABL,BEWR"
5/1/2014,Josh,Grazinglands,7,GRLB,GRLBPC09,177,,,8:14,35.53791,-98.06107,0,0 to 5,,,
5/1/2014,Josh,Grazinglands,8,GRLB,GRLBPC11,178,,,8:29,35.54912,-98.0611,0,0 to 5,,,
5/1/2014,Josh,Grazinglands,9,GRLB,GRLBPC12,179,,,8:43,35.55128,-98.06745,0,0 to 5,,,
5/1/2014,Josh,Grazinglands,10,GRLB,GRLBPC13,180,,,9:02,35.54014,-98.07888,0,0 to 5,,,
5/1/2014,Josh,Grazinglands,11,GRLB,GRLBPC14,181,,,9:17,35.54754,-98.07882,0,0 to 5,,,
